num,x,y,z
1,-2,-1.6,909.7733333
2,-415.8,2.8,870.7733333
3,-205.3,361.1,871.2733333
4,207.6,355.6,874.0733333
5,411.2,-6.9,873.0733333
6,198.3,-365,870.8733333
7,-214,-359,871.3733333
8,-816.8,10.7,756.9733333
9,-702.8,415.2,755.8733333
10,-402.1,712.8,756.3733333
11,7.9,813,757.9733333
12,413.8,700.1,754.8733333
13,706.1,396.8,758.0733333
14,810.2,-12.6,756.3733333
15,694.8,-418.3,754.6733333
16,395.2,-714.5,758.8733333
17,-14.1,-814.5,754.8733333
18,-420,-702,757.6733333
19,-712.9,-398.4,756.6733333
20,-1188,17,568.5733333
21,-1109.8,420.6,565.9733333
22,-900.6,762.8,566.6733333
23,-588.8,1031.5,568.9733333
24,-197.8,1165.8,571.0733333
25,213.8,1166.2,567.7733333
26,599.4,1021.5,565.2733333
27,915.6,754.8,565.0733333
28,1114.6,395.3,567.2733333
29,1181.6,-11.3,566.4733333
30,1109.5,-417.7,567.7733333
31,897.9,-763.6,570.6733333
32,583.5,-1031.3,565.9733333
33,194.8,-1166.6,563.6733333
34,-221.3,-1164.5,562.5733333
35,-607.1,-1018.3,562.9733333
36,-920.6,-749.9,564.3733333
37,-1120.9,-389.3,565.2733333
38,-1520.5,11.1,315.6733333
39,-1465.3,403.9,315.9733333
40,-1320.3,771.3,316.4733333
41,-1065.1,1076.7,316.7733333
42,-755.4,1322.3,320.2733333
43,-386.2,1468.9,317.0733333
44,6.9,1517.6,315.8733333
45,399.9,1465.1,314.6733333
46,765.4,1309.7,316.6733333
47,1078,1065.9,315.5733333
48,1321.1,751.4,311.8733333
49,1459.7,381.1,311.1733333
50,1512.6,-11.8,315.3733333
51,1461.3,-406.7,316.8733333
52,1300.9,-765.5,315.9733333
53,1064.3,-1079.1,316.6733333
54,750.5,-1321.4,317.4733333
55,382.3,-1466.4,313.3733333
56,-11.7,-1512,315.3733333
57,-406.3,-1454.5,311.5733333
58,-773.8,-1306,311.8733333
59,-1085.6,-1062.2,313.0733333
60,-1320.2,-742,312.1733333
61,-1456.5,-380.1,311.9733333
62,-1800.6,2.1,-0.426666667
63,-1763.7,376.7,-0.026666667
64,-1643.1,735.1,1.073333333
65,-1444.6,1074.5,-0.426666667
66,-1193.7,1338.8,-4.426666667
67,-891.5,1560.9,-2.626666667
68,-545.6,1714.8,-1.626666667
69,-178.1,1789.9,-2.426666667
70,201.8,1789.2,-1.826666667
71,567.7,1710.4,-2.126666667
72,906.4,1558.3,-1.826666667
73,1208.4,1335.9,-1.526666667
74,1461.4,1051.8,0.473333333
75,1657.8,718.1,0.773333333
76,1763.3,371.1,3.273333333
77,1799.7,3.9,4.073333333
78,1763.7,-377.4,3.773333333
79,1648.5,-741.6,0.673333333
80,1459.2,-1054.3,2.473333333
81,1206.7,-1328.1,1.073333333
82,900.9,-1559.9,0.473333333
83,556.2,-1718.8,0.973333333
84,170.4,-1794,2.673333333
85,-209.1,-1792.5,1.773333333
86,-577.7,-1707.5,1.773333333
87,-925.2,-1547.6,-0.226666667
88,-1220.3,-1334.3,-0.326666667
89,-1475.9,-1040.6,-3.126666667
90,-1654.4,-717,-1.326666667
91,-1763.1,-364.3,-1.026666667
