num,x,y,z
1,0,0,899.706
2,-414.857,0,861.099
3,-207.428,359.277,861.099
4,207.428,359.277,861.099
5,414.857,0,861.099
6,207.428,-359.277,861.099
7,-207.428,-359.277,861.099
8,-815.483,0,746.712
9,-706.249,407.753,746.687
10,-407.742,706.23,746.712
11,0,815.505,746.687
12,407.742,706.23,746.712
13,706.249,407.753,746.687
14,815.483,0,746.712
15,706.249,-407.753,746.687
16,407.742,-706.23,746.712
17,0,-815.505,746.687
18,-407.742,-706.23,746.712
19,-706.249,-407.753,746.687
20,-1188.153,0,560.425
21,-1116.547,406.39,560.441
22,-910.218,763.763,560.441
23,-594.076,1028.971,560.425
24,-206.329,1170.153,560.441
25,206.329,1170.153,560.441
26,594.076,1028.971,560.425
27,910.218,763.763,560.441
28,1116.547,406.39,560.441
29,1188.153,0,560.425
30,1116.547,-406.39,560.441
31,910.218,-763.763,560.441
32,594.076,-1028.971,560.425
33,206.329,-1170.153,560.441
34,-206.329,-1170.153,560.441
35,-594.076,-1028.971,560.425
36,-910.218,-763.763,560.441
37,-1116.547,-406.39,560.441
38,-1520.103,0,308.641
39,-1468.388,393.455,308.695
40,-1316.537,760.103,308.712
41,-1074.935,1074.934,308.695
42,-760.052,1316.448,308.641
43,-393.452,1468.388,308.695
44,0,1520.206,308.712
45,393.452,1468.388,308.695
46,760.052,1316.448,308.641
47,1074.935,1074.934,308.695
48,1316.537,760.103,308.712
49,1468.388,393.455,308.695
50,1520.103,0,308.641
51,1468.388,-393.455,308.695
52,1316.537,-760.103,308.712
53,1074.935,-1074.934,308.695
54,760.052,-1316.448,308.641
55,393.452,-1468.388,308.695
56,0,-1520.206,308.712
57,-393.452,-1468.388,308.695
58,-760.052,-1316.448,308.641
59,-1074.935,-1074.934,308.695
60,-1316.537,-760.103,308.712
61,-1468.388,-393.455,308.695
62,-1800,0,0
63,-1760.666,374.241,0
64,-1644.382,732.126,0
65,-1456.231,1058.013,0
66,-1204.435,1337.661,0
67,-900,1558.846,0
68,-556.231,1711.902,0
69,-188.151,1790.139,0
70,188.151,1790.139,0
71,556.231,1711.902,0
72,900,1558.846,0
73,1204.435,1337.661,0
74,1456.231,1058.013,0
75,1644.382,732.126,0
76,1760.666,374.241,0
77,1800,0,0
78,1760.666,-374.241,0
79,1644.382,-732.126,0
80,1456.231,-1058.013,0
81,1204.435,-1337.661,0
82,900,-1558.846,0
83,556.231,-1711.902,0
84,188.151,-1790.139,0
85,-188.151,-1790.139,0
86,-556.231,-1711.902,0
87,-900,-1558.846,0
88,-1204.435,-1337.661,0
89,-1456.231,-1058.013,0
90,-1644.382,-732.126,0
91,-1760.666,-374.241,0
